muneeb,rashid,12,muneeb123@gmail.com,12345678
amjad,feroz,10,amjad123@gmail.com,12345678
osama,hashim,16,osama123@gmail.com,12345678
kashif,sahil,15,kashif123@gmail.com,12345678
omar,rafeeq,9,omar123@gmail.com,12345678
basit,kashif,13,basit123@gmail.com,12345678
asif,ahmed,12,asif123@gmail.com,12345678
huziafa,hafeez,14,huziafa123@gmail.com,12345678
rashid,moiz,18,rashid123@gmail.com,12345678
owais,naseem,12,owais123@gmail.com,12345678
saim,ali,17,saim123@gmail.com,12345678
hussian,abdullah,16,hussain123@gmail.com,12345678
